university_name,course_name,Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Application Fee,Yocketers have applied,Yocketers got admits,Yocketers are interested,GRE,TOEFL,IELTS,Application Link,Tuition Link
university-of-bath,human-computer-interaction-and-design-53425,"£11,950",24 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-human-computer-interaction-including-placement-year/#course-structure,NA,2,2,1,314,104,,https://www.bath.ac.uk/study/pg/applications.pl,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2020-21/
university-of-bath,robotics-and-autonomous-systems-65516,"£23,100",12 Months,84,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-robotics-and-autonomous-systems/#course-structure,NA,12,12,3,312,102,7,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUEE-RB01&code2=0004,https://www.bath.ac.uk/corporate-information/faculty-of-engineering-design-taught-postgraduate-tuition-fees-2020-21/
university-of-bath,computer-science-53415,"£23,000",12 Months,120,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-computer-science/,£60,13,13,12,306,68,7,https://auth.bath.ac.uk/login?service=https%3A%2F%2Fwww.bath.ac.uk%2Faccount%2Fapplicant,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,engineering-business-management-53421,"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-engineering-business-management/,£60,2,2,15,7,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUME-EM01&code2=0004,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-engineering-business-management/#fees-funding
university-of-bath,data-science-and-analytics-72718,"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science-and-statistics/,£60,2,2,3,306,105,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-DS07&code2=0004,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science-and-statistics/#fees-funding
university-of-bath,"operations,-logistics-and-supply-chain-management-53430","£22,000",12 Months,180,On Campus,https://management-masters.bath.ac.uk/course/operations-logistics-and-supply-chain-management/,£60,1,1,,8,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-OL01&code2=0006,https://management-masters.bath.ac.uk/course/operations-logistics-and-supply-chain-management/
university-of-bath,finance-53423,"£26,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-finance/,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-FN01&code2=0011,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,international-management-53427,"£22,000",12 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-international-management/,£60,2,2,1,316,8,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-IN01&code2=0013,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-international-management/#fees-funding
university-of-bath,drug-discovery-53417,"£25,000",12 Months,120,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-drug-discovery/,£60,2,2,2,8,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUPA-DD01&code2=0004,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,civil-engineering-67909,"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2020/taught-postgraduate-courses/msc-civil-engineering-innovative-structural-materials/,£60,2,2,,8,,,https://www.bath.ac.uk/study/pg/applications.pl,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-civil-engineering-innovative-structural-materials/#fees-funding
university-of-bath,marketing-53431,"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-marketing/,£60,2,2,1,8,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-MK01&code2=0012,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-marketing/#fees-funding
