Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Tuition Link,Application Fee,Application Link
"£22,000",12 Months,36,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-sustainability-and-management/,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/,NA,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-SM01&code2=0011
"£29,130",24 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science-including-placement-year/,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2020-21/,NA,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-DS04&code2=0004
"€21,500",12 Months,NA,On Campus,http://mba.audencia.com/full-time-mba/,,,
"€14,667",18 Months,NA,On Campus,https://master.audencia.com/en/programmes-english/master-management-engineering-grande-ecole/,https://master.audencia.com/en/programmes-english/master-management-engineering-grande-ecole/,€100,https://apply.audencia.com/index.cfm?FuseAction=Security.LoginWizardStepOne
"$26,544",24 Months,40,On Campus,https://cse.ucsd.edu/graduate/degree-programs/ms-program,https://grad.ucsd.edu/financial/tuition-fees.html,$140,https://connect.grad.ucsd.edu/apply/
,,,,,,,
"$32,121",18 Months,30,On Campus,,,$125,https://apply.grad.ucsd.edu/home
"$20,567",24 Months,38,On Campus,https://jacobsschool.ucsd.edu/mas/dse,https://jacobsschool.ucsd.edu/mas/dse/cost,$140,https://connect.grad.ucsd.edu/apply/
"$26,544",24 Months,52,On Campus,http://ece.ucsd.edu/graduate/ece-dept-university-academic-requirements,https://reg.uci.edu/fees/2021-2022/graduate.html,$140,https://connect.grad.ucsd.edu/apply/
"$45,768",12 Months,36,On Campus,https://mae.ucsd.edu/grad/mae-master-science-program,https://students.ucsd.edu/finances/fees/registration/2020-21/graduate.html,$140,https://connect.grad.ucsd.edu/apply/
"$26,544",24 Months,38,On Campus,http://csme.ucsd.edu/csme-ms.html,https://grad.ucsd.edu/financial/tuition-fees.html#Proposed-2020/2021-Tuition-&-Fe,$140,https://connect.grad.ucsd.edu/apply/
"$15,102",24 Months,48,On Campus,http://ece.ucsd.edu/graduate/graduate-admissions,https://fas.ucsd.edu/cost-of-attendance/graduate-students/index.html,,
"$11,442",21 Months,36,On Campus,http://ne.ucsd.edu/graduate-programs/degree/chemical-engineering/masters,https://grad.ucsd.edu/financial/tuition-fees.html#Proposed-2020/2021-Tuition-&-Fe,$140,https://connect.grad.ucsd.edu/apply/
"$38,135",18 Months,30,On Campus,https://rady.ucsd.edu/programs/masters-programs/mba/curriculum/,https://rady.ucsd.edu/programs/masters-programs/mba/full-time/costs-and-financing/,$200,https://applyrady.force.com/application/TX_SiteLogin?startURL=%2Fapplication%2FTargetX_Portal__PB
"$12,570",24 Months,NA,On Campus,https://jacobsschool.ucsd.edu/mas/wes,https://grad.ucsd.edu/financial/tuition-fees.html#Proposed-2020/2021-Tuition-&-Fe,$140,https://connect.grad.ucsd.edu/apply/
"$68,640",12 Months,52,On Campus,https://apply.grad.ucsd.edu/masters-programs/mf#finance-rs82,https://students.ucsd.edu/finances/fees/registration/2020-21/rady.html#Master-of-Finance-(Self-Support,$140,https://applyrady.force.com/application/TX_SiteLogin?startURL=%2Fapplication%2FTargetX_Portal__PB
"$19,560",24 Months,33,On Campus,https://academics.pittstate.edu/academic-programs/technology-and-workforce-learning/technology-masters-degree.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined3,$60,https://admission.pittstate.edu/apply.html
"$19,560",24 Months,30,On Campus,https://academics.pittstate.edu/academic-programs/graphics-and-imaging-technologies/graphics-design-masters-emphasis.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined3,$60,https://admission.pittstate.edu/apply.html
"$26,544",12 Months,36,On Campus,https://maeweb.ucsd.edu/grad/mae-master-science-program,https://grad.ucsd.edu/financial/tuition-fees.html#Proposed-2020/2021-Tuition-&-Fe,$140,https://connect.grad.ucsd.edu/apply/
"$19,196",24 Months,30,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/school-of-construction/ms-in-technology-construction-management-emphasis.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$11,442",24 Months,48,On Campus,https://be.ucsd.edu/grad/programs,https://grad.ucsd.edu/financial/tuition-fees.html#Proposed-2020/2021-Tuition-&-Fe,$140,https://connect.grad.ucsd.edu/apply/
"$81,000",9 Months,50,On Campus,https://rady.ucsd.edu/programs/masters-programs/master-of-professional-accountancy/,https://students.ucsd.edu/finances/fees/registration/2020-21/rady.html#Master-of-Professional-Accounta,$140,https://applyrady.force.com/application/TX_SiteLogin?startURL=%2Fapplication%2FTargetX_Portal__PB
"$19,121",24 Months,31,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/technology-and-workforce-learning/hrd-learning-and-development-emphasis-ms.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$18,848",48 Months,120,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/technology-and-workforce-learning/bas-in-technology.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$19,560",24 Months,30,On Campus,https://academics.pittstate.edu/academic-programs/technology-and-workforce-learning/information-technology-graduate-emphasis.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined3,$60,https://admission.pittstate.edu/apply.html
"$44,352",18 Months,39,On Campus,https://www.katz.business.pitt.edu/academics/master-science/business-analytics/ms-management-and-business-analytics,https://www.katz.business.pitt.edu/apply/tuition-and-aid/master-of-science,$50,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=up-katz
"$37,696",24 Months,NA,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/engineering-technology/bas-in-technology.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
